CountryID,Country,2000.00,2001.00,2002.00,2003.00,2004.00,2005.00,2006.00,2007.00,2008.00,2009.00,2010.00,2011.00,2012.00,2013.00,2014.00,2015.00,2016.00,2017.00,2018.00,2019.00,2020.00,2021.00
8,Albania,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,108.27,99.23,86.55,81.25,110.95
12,Algeria,2600.00,2600.00,2600.00,2600.00,2800.00,2800.00,2800.00,3000.00,4150.00,4200.00,2603.00,2915.00,3000.00,3046.91,3117.45,3654.94,3900.00,3860.00,0.00,0.00,0.00,0.00
28,Antigua and Barbuda,0.66,0.95,0.97,0.82,1.09,1.26,1.23,2.10,1.40,1.60,1.60,1.20,1.20,0.72,0.68,0.74,0.33,0.52,0.78,0.99,0.90,0.90
51,Armenia,533.00,530.00,675.00,674.00,722.00,803.00,843.00,858.00,852.00,854.40,875.80,1002.80,1314.40,1348.70,1312.00,1304.50,1136.30,1154.50,1191.60,1294.30,1388.50,1455.90
31,Azerbaijan,547.00,511.00,545.00,607.00,707.00,798.00,1073.00,1112.00,1127.00,1262.00,1272.00,1506.00,1696.00,1738.00,1819.00,2016.00,2075.00,2066.00,2095.00,2366.00,2395.00,2335.00
48,Bahrain,275.50,251.50,258.30,252.40,243.40,221.10,229.50,213.60,197.60,181.20,191.90,202.90,197.30,203.20,201.00,185.60,182.10,184.70,179.80,180.80,179.80,176.90
50,Bangladesh,0.00,0.00,0.00,0.00,11.90,12.00,12.50,14.20,16.20,51.23,55.24,55.97,58.36,60.69,61.69,754.15,0.00,0.00,0.00,0.00,0.00,0.00
52,Barbados,51.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
112,Belarus,1081.66,1085.70,1080.60,1068.80,1038.30,1033.80,1009.90,960.60,919.40,857.80,877.30,891.20,898.30,874.30,866.55,844.60,818.50,811.30,809.20,802.10,799.20,813.00
56,Belgium,664.69,665.31,652.01,667.55,646.61,619.96,632.38,625.76,621.80,621.22,615.59,629.92,627.12,630.11,622.41,622.52,617.97,611.83,627.98,611.32,633.59,0.00
84,Belize,1.39,1.56,1.60,1.53,1.61,1.65,1.69,1.83,1.87,1.85,1.92,1.94,1.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
60,Bermuda,0.00,0.00,0.00,0.00,0.00,2.58,2.60,2.35,2.10,1.85,1.79,1.81,1.66,1.55,1.39,1.42,1.32,0.00,0.00,0.00,0.00,0.00
68,Bolivia (Plurinational State of),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,133.72,144.81,162.27,165.32,172.65,178.28,185.28,185.78,192.80,202.26,196.25
70,Bosnia and Herzegovina,312.05,314.25,316.44,318.63,320.82,323.01,325.20,327.40,329.59,331.78,328.56,302.18,304.48,306.76,300.01,310.62,0.00,0.00,0.00,0.00,0.00,0.00
72,Botswana,101.00,99.50,109.50,100.50,104.10,103.00,102.50,97.60,99.80,97.50,99.30,99.30,103.40,96.00,99.60,108.80,112.30,116.89,121.18,106.39,112.93,107.72
76,Brazil,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9156.95,9306.45,9260.20,9368.02,9433.33,0.00,0.00,0.00,0.00
100,Bulgaria,794.72,719.44,659.74,647.92,601.18,596.69,647.40,641.77,615.75,584.27,556.70,544.74,565.61,558.04,546.84,558.35,560.98,581.75,566.47,561.73,561.39,0.00
854,Burkina Faso,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.24,19.46,19.79,21.46,24.46,25.15,65.57,73.45,30.63,38.96,32.30,33.77
120,Cameroon,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.88,14.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
136,Cayman Islands,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.02,0.03,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
140,Central African Republic,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
156,China,106920.00,109490.00,107240.00,101810.00,102640.00,103880.00,106550.00,106910.00,108480.00,109452.00,110730.00,110910.00,113380.00,112620.00,111690.00,106920.00,105700.00,101670.00,97640.00,93420.00,89250.00,0.00
344,"China, Hong Kong Special Administrative Region",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
191,Croatia,430.40,448.95,430.86,453.88,433.55,422.33,418.53,419.45,406.66,427.04,465.12,463.60,433.30,430.69,400.37,419.27,433.86,415.02,411.46,407.10,403.89,400.48
192,Cuba,0.00,0.00,0.00,0.00,1600.00,1485.00,1836.00,2286.00,2336.00,2169.00,2749.00,2375.00,3043.00,2867.00,2928.00,2814.00,2634.00,2784.00,2973.00,2773.00,2372.05,2578.00
531,Curaçao,0.00,43161.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54936.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
196,Cyprus,146.00,141.00,145.00,158.00,172.00,140.00,140.00,145.00,130.00,145.00,140.00,155.00,155.00,140.00,135.00,150.00,155.00,155.00,155.00,135.00,135.00,135.00
203,Czechia,554.80,528.90,540.10,420.70,401.90,384.70,379.30,380.60,380.10,375.70,377.30,378.20,379.40,371.30,361.00,366.40,362.80,369.40,370.40,359.30,354.90,362.10
208,Denmark,709.10,692.90,649.50,632.50,659.80,627.60,670.60,567.20,688.30,650.20,684.00,712.59,622.07,756.45,769.50,700.57,682.01,673.68,866.72,722.55,763.97,712.55
212,Dominica,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
218,Ecuador,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,779.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
818,Egypt,0.00,0.00,0.00,0.00,5884.00,5884.00,5884.00,6474.00,7500.00,7500.00,6500.00,7500.00,7700.00,6700.00,6900.00,6900.00,0.00,0.00,0.00,0.00,0.00,0.00
233,Estonia,254.60,271.80,236.40,267.40,310.40,273.70,236.50,247.90,329.60,331.70,296.00,299.10,273.80,212.80,199.00,202.00,222.00,247.20,213.57,229.09,221.59,233.17
231,Ethiopia,2.87,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
242,Fiji,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17,3.52,3.80,3.50,3.58,3.78,3.96,3.97,4.09
246,Finland,284.70,284.70,284.70,284.70,284.70,284.70,264.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
250,France,6259.34,6283.62,6226.94,6814.72,6429.82,6318.47,6184.35,5662.19,5824.04,6112.66,5982.97,5908.10,5608.20,5621.43,5298.78,5763.96,5509.58,5692.34,5767.72,5727.74,5885.07,0.00
254,French Guiana,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.36,0.35,0.00,0.00,0.36,0.36,0.00,0.00,0.00
268,Georgia,399.00,437.00,547.00,537.00,520.00,521.70,435.00,422.00,428.00,447.00,430.00,381.00,368.00,403.00,400.00,499.00,480.00,489.00,487.00,486.00,511.00,506.00
276,Germany,0.00,6203.80,6146.83,6089.87,6032.90,5963.50,5894.10,5824.70,5830.13,5835.57,5841.00,5865.90,5890.81,5915.71,5931.44,5947.17,5962.90,5999.31,6035.72,6072.13,0.00,0.00
300,Greece,3453.40,3390.00,3187.80,3721.30,3733.60,3771.60,3679.30,3651.10,4483.00,4653.00,4823.00,5618.51,5614.80,5613.12,5608.21,5609.62,6231.94,6233.25,6225.19,6228.35,6223.38,6223.71
312,Guadeloupe,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.10,17.33,8.53,9.24,9.86,18.06,17.41,18.49,0.00,0.00
324,Guinea,0.00,0.00,0.00,0.00,0.00,16.71,17.69,18.88,42.60,25.77,25.72,26.72,27.92,28.83,29.63,32.54,33.52,34.70,0.00,0.00,0.00,0.00
328,Guyana,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
348,Hungary,740.00,726.00,730.00,722.00,708.00,566.00,540.50,520.70,536.64,526.28,497.76,502.97,503.98,496.04,475.60,491.66,487.15,582.91,514.29,606.88,624.35,597.14
356,India,0.00,0.00,0.00,0.00,231000.00,0.00,0.00,0.00,0.00,243000.00,0.00,245000.00,0.00,253000.00,0.00,0.00,0.00,249000.00,0.00,0.00,0.00,0.00
368,Iraq,0.00,0.00,0.00,0.00,0.00,0.00,7000.00,4200.00,7000.00,7000.00,7000.00,4000.00,4000.00,4000.00,4000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
372,Ireland,0.00,0.00,0.00,0.00,0.00,364.00,0.00,213.00,0.00,196.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
388,Jamaica,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,400.00,210.00,140.00,0.00,0.00,0.00,0.00,0.00
400,Jordan,473.60,0.00,522.00,520.00,501.00,506.00,469.63,493.27,487.42,482.30,497.90,503.75,570.90,527.80,642.40,595.80,614.68,615.20,625.00,601.40,593.64,618.62
398,Kazakhstan,1169.00,1135.00,1157.00,1106.00,957.00,1152.00,1173.00,1217.00,1290.00,1229.00,1186.00,1137.00,1133.00,1075.00,1052.00,1056.00,1051.00,1032.00,1020.00,1055.00,999.00,1064.00
404,Kenya,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,102.68,111.35,102.94,140.64,175.55,211.68,227.60,220.40
414,Kuwait,0.00,0.00,0.00,0.00,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
417,Kyrgyzstan,302.00,502.00,342.00,336.00,298.00,304.00,306.00,334.00,302.00,299.00,324.10,201.30,224.90,107.94,225.62,343.80,208.70,224.60,0.00,0.00,0.00,0.00
428,Latvia,117.21,115.97,114.60,108.93,103.85,101.51,102.16,107.39,104.61,86.23,89.07,89.02,84.95,87.79,83.49,80.52,81.23,83.49,86.53,84.97,84.13,85.77
440,Lithuania,189.92,179.73,179.80,179.55,176.53,177.42,179.81,174.49,169.32,159.45,156.96,154.04,150.14,158.02,158.54,156.43,157.23,156.06,162.90,162.74,161.43,166.12
442,Luxembourg,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.00,23.30,22.40,20.90,25.13,26.67,25.80,24.39,22.78,27.90,22.99,23.26,22.31
450,Madagascar,28.40,0.00,0.00,0.00,0.00,0.00,0.00,28.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
454,Malawi,0.00,0.00,0.00,0.00,0.00,0.91,0.98,1.00,1.20,1.20,1.14,1.14,1.14,1.34,1.45,1.45,1.26,9.90,0.00,0.00,0.00,0.00
458,Malaysia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67.67,71.24,75.24,74.34,81.37,83.37,88.40,89.50,92.71,87.60,89.97,86.05,88.64,0.00,0.00
466,Mali,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,149.08,151.54,153.47,155.85,159.52,5215.15,5452.69,5421.01,314.14,321.48,330.00,0.00
470,Malta,36.85,37.03,36.04,32.54,32.38,33.78,34.02,38.22,37.08,32.90,42.12,40.38,38.64,44.73,43.61,40.60,42.75,42.90,39.94,37.77,38.25,36.57
474,Martinique,0.00,0.00,0.00,0.00,0.00,3.51,3.84,0.00,0.00,1.65,4.78,3.67,3.31,3.04,3.08,3.22,3.17,2.94,2.97,3.11,0.00,0.00
480,Mauritius,145.00,145.00,148.00,148.00,150.00,150.00,154.00,112.00,119.00,121.00,124.00,122.00,122.00,121.00,131.00,145.00,147.00,142.00,150.00,153.00,150.00,153.00
492,Monaco,2.02,2.33,1.83,1.78,1.67,1.33,1.55,1.07,1.61,2.49,2.59,2.28,1.58,2.60,2.56,1.98,0.99,0.94,1.79,1.69,1.68,1.23
504,Morocco,3166.00,2870.00,2907.00,3000.00,4100.00,4100.00,4100.00,4100.00,4100.00,4100.00,4100.00,0.00,0.00,0.00,5000.00,5000.00,5000.00,5000.00,5000.00,5000.00,0.00,0.00
104,Myanmar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.17,1.18,1.05,1.18,1.15,2.05,3.08,3.89,5.63,7.55,9.84,11.03,10.74,10.85,0.00
528,Netherlands,0.00,976.50,1068.47,1160.44,1044.60,1004.17,1051.80,993.23,989.01,1015.34,997.13,989.11,940.53,992.04,964.92,992.60,983.38,1014.68,1187.79,1143.70,1171.00,0.00
807,North Macedonia,54.10,62.30,48.00,125.00,247.10,67.80,134.20,116.30,155.00,162.10,171.12,180.14,189.16,198.18,207.20,3.92,21.60,24.49,8.91,9.13,9.44,7.63
512,Oman,1004.00,1481.00,1481.00,1481.00,1481.00,1481.00,1481.00,1481.00,1481.00,1481.00,1532.00,1532.00,1532.00,1532.00,1532.00,1532.00,1532.00,1532.00,1532.00,1532.00,1532.00,1532.00
586,Pakistan,61564.00,62353.00,62032.00,61699.00,61699.00,61699.00,61576.00,62069.00,62069.00,62069.00,61934.00,61934.00,61934.00,64154.00,61675.00,59208.00,65375.00,61675.00,0.00,0.00,0.00,0.00
591,Panama,34.32,32.52,31.92,31.22,31.11,6.31,25.84,24.21,28.11,27.30,30.31,66.98,32.59,32.15,33.20,34.34,31.91,30.96,33.84,33.57,33.46,36.75
604,Peru,190.30,176.60,163.60,127.40,174.50,151.30,139.30,105.60,133.40,108.40,118.40,115.80,117.80,121.80,124.80,122.80,150.70,130.70,1324.00,1301.00,1487.00,0.00
608,Philippines,2488.50,2573.87,2717.96,2784.96,2904.72,3049.39,3109.77,3231.20,3368.98,3448.59,3618.11,3675.06,3709.62,3759.89,3786.70,3888.16,3963.77,4035.06,4071.32,4261.57,5017.11,5117.61
616,Poland,2843.20,2699.60,2661.50,2525.80,2503.70,2632.50,2831.20,2670.90,2638.20,2586.20,2721.80,2732.60,2644.50,2608.20,2577.50,2607.50,2593.52,2557.95,2508.60,2550.30,2497.72,2527.39
634,Qatar,0.00,236.50,231.80,217.50,220.30,248.00,247.00,247.00,248.60,248.90,248.20,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00
498,Republic of Moldova,168.00,138.00,132.00,135.00,135.00,136.00,136.00,129.00,127.00,129.00,130.00,130.00,129.00,128.00,127.00,128.00,126.00,127.00,128.00,129.00,130.00,130.00
638,Réunion,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,117.77,109.18,104.57,101.47,101.97,107.48,104.22,106.96,0.00,0.00
642,Romania,1107.00,990.00,860.00,811.00,760.00,724.00,650.00,644.00,659.00,628.00,624.00,600.00,598.00,581.00,554.00,590.00,635.00,646.00,676.00,705.00,796.00,806.00
643,Russian Federation,11662.00,11569.00,11285.00,11013.00,10821.00,10603.00,10286.00,10223.00,10090.00,9771.00,9364.00,9156.00,9126.00,8907.00,9756.00,10009.00,10685.00,10599.00,10690.00,10584.00,10251.00,10484.00
659,Saint Kitts and Nevis,0.00,1.73,1.69,1.55,2.03,2.98,3.09,2.80,2.49,2.15,3.08,3.71,3.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
882,Samoa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.67,7.91,7.84,6.63,7.15,7.45,0.00
682,Saudi Arabia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15790.88,17299.28,18940.23,20395.04,21351.63,22647.63,21595.00,20775.00,21282.00,14719.00,0.00,0.00
686,Senegal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,91.44,87.52,90.88,90.40,91.51,92.64,97.77,105.04,114.13,117.34,0.00,0.00,0.00,0.00
688,Serbia,568.98,564.42,566.28,549.39,565.77,567.99,557.98,552.99,544.60,538.52,530.72,521.33,522.86,494.75,471.73,477.30,441.40,460.48,496.25,484.80,494.59,507.76
703,Slovakia,448.40,422.50,410.40,419.60,385.80,374.30,367.90,358.40,350.70,348.30,341.20,334.40,338.90,329.20,321.30,325.80,323.30,334.50,338.90,338.70,334.50,342.90
705,Slovenia,0.00,0.00,207.90,199.60,183.60,184.30,189.50,190.50,186.10,190.10,185.20,184.70,179.60,181.10,181.80,181.60,180.10,188.50,189.63,187.73,183.90,189.21
710,South Africa,1757.00,1801.00,2161.00,2194.00,0.00,2215.00,2264.00,2275.00,2265.00,2260.00,2273.00,2324.00,2382.00,2400.00,2423.00,2453.00,2547.00,2663.00,2784.00,2862.00,2898.00,3300.00
724,Spain,5965.30,5771.00,5897.10,6072.50,6027.10,6387.30,6302.80,6496.00,6174.00,6732.00,6601.00,6143.38,6496.06,6109.49,6303.70,6334.22,6393.85,6149.60,5907.10,5815.60,5827.30,0.00
144,Sri Lanka,0.00,7250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
275,State of Palestine,0.00,207.00,241.00,0.00,249.00,268.00,275.20,286.00,250.90,257.80,270.80,266.90,292.60,302.40,274.50,291.20,280.60,288.00,299.70,329.60,352.40,336.60
752,Sweden,635.00,577.20,519.40,461.60,403.80,346.00,345.80,345.60,345.40,345.20,345.00,349.00,353.00,357.00,361.00,365.00,371.00,377.00,383.00,389.00,395.00,0.00
756,Switzerland,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1005.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
780,Trinidad and Tobago,89.27,95.37,92.61,85.13,86.39,95.84,102.23,105.19,109.12,98.10,102.30,0.00,0.00,106.10,93.00,88.50,95.40,0.00,0.00,0.00,0.00,0.00
788,Tunisia,1865.00,1887.00,1913.00,1887.00,1905.00,1951.00,1978.00,1985.00,2009.00,2016.00,2175.00,2200.00,2269.00,2330.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
792,Türkiye,10350.00,10670.00,10990.00,11176.00,11443.00,11622.00,11882.00,12096.00,12419.00,12811.00,13138.00,13560.00,13560.00,13560.00,14600.00,14600.00,15060.00,15460.00,16180.00,16620.00,17067.08,17641.98
804,Ukraine,2987.00,2750.00,2673.00,2560.00,2509.00,2450.00,2409.00,2315.00,2175.00,2007.00,2023.00,1961.00,1961.00,1911.00,1503.00,1286.00,1270.00,1178.00,1165.00,1157.00,972.00,1002.25
784,United Arab Emirates,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2692.00,2519.00,2445.00,2501.00,2443.00,2381.00,0.00
826,United Kingdom,0.00,0.00,0.00,0.00,0.00,2335.70,2265.70,2197.10,2139.20,2162.80,2152.30,2158.70,2046.00,2049.40,2052.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00
860,Uzbekistan,0.00,0.00,0.00,0.00,467.00,424.00,481.00,423.00,678.00,509.00,500.00,538.00,371.00,402.00,476.00,539.00,0.00,0.00,0.00,0.00,0.00,0.00
862,Venezuela (Bolivarian Republic of),7476.81,6598.78,5612.63,8519.46,10382.01,12180.38,15275.12,18369.85,19874.43,20509.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
887,Yemen,2831.00,0.00,0.00,0.00,0.00,3282.00,0.00,0.00,0.00,0.00,3805.00,0.00,0.00,0.00,0.00,4411.00,0.00,0.00,0.00,0.00,0.00,0.00
716,Zimbabwe,12534.99,11349.04,9660.69,10316.35,15831.42,9587.29,15075.89,15165.36,14684.69,16608.81,16810.84,16906.18,13721.11,14798.39,13818.22,10370.45,12507.52,13714.01,10708.36,6074.37,10318.39,11331.63